chromleft	startleft	endleft	chromright	startright	endright	counts	pvalue	qvalue
chr1	1282738	1283678	chr1	1283743	1284926	6	1.075586e-21	8.8e-05
chr1	1370817	1371926	chr1	1372332	1373312	8	3.536936e-26	8.8e-05
chr1	2159841	2161268	chr1	2161279	2162108	18	5.48773e-57	8.8e-05
chr1	2159841	2161268	chr1	2162130	2163908	6	8.048577e-17	8.8e-05
chr1	2161279	2162108	chr1	2162130	2163908	17	2.792212e-55	8.8e-05
chr1	9187131	9188440	chr1	9188469	9189622	7	2.57682e-28	8.8e-05
chr1	10269584	10270838	chr1	10271408	10272897	6	7.514194e-21	8.8e-05
chr1	10270854	10271387	chr1	10271408	10272897	8	2.246826e-28	8.8e-05
chr1	19227359	19228286	chr1	19228782	19229904	10	3.63389e-33	8.8e-05
chr1	20810558	20812100	chr1	20812110	20812974	13	1.513195e-42	8.8e-05
chr1	20833398	20833922	chr1	20834378	20835530	6	1.137546e-23	8.8e-05
chr1	24018086	24019613	chr1	24019669	24020287	6	6.173654e-23	8.8e-05
chr1	24069279	24070160	chr1	24071093	24072018	7	4.231896e-24	8.8e-05
chr1	24117015	24117907	chr1	24117929	24119499	16	9.753585e-58	8.8e-05
chr1	25572445	25573085	chr1	25573393	25574848	8	9.178095e-31	8.8e-05
chr1	27320080	27320659	chr1	27320674	27322122	10	4.227368e-34	8.8e-05
chr1	28413253	28414648	chr1	28414689	28415481	15	8.452883e-54	8.8e-05
chr1	28562184	28563274	chr1	28563298	28564558	21	2.80397e-79	8.8e-05
chr1	28833435	28834227	chr1	28834360	28835780	6	3.903857e-21	8.8e-05
chr1	28994635	28995940	chr1	28995967	28996809	11	2.327753e-44	8.8e-05
chr1	29506005	29507311	chr1	29507350	29508539	25	1.18412e-97	8.8e-05
chr1	32401977	32402704	chr1	32402726	32404358	6	6.638835e-23	8.8e-05
chr1	33813378	33814728	chr1	33814751	33815732	24	7.978324e-83	8.8e-05
chr1	36396648	36396994	chr1	36397016	36398695	8	8.437395e-30	8.8e-05
chr1	38017877	38018434	chr1	38018910	38019951	7	1.228114e-28	8.8e-05
chr1	38155957	38157209	chr1	38157254	38158066	13	4.100864e-48	8.8e-05
chr1	39457190	39457787	chr1	39457814	39459445	6	5.977516e-20	8.8e-05
chr1	39569949	39571926	chr1	39571934	39572687	13	8.809015e-48	8.8e-05
chr1	40626314	40627176	chr1	40627767	40628577	7	1.113199e-22	8.8e-05
chr1	43636111	43637629	chr1	43637679	43638153	19	1.325271e-75	8.8e-05
chr1	46016177	46016990	chr1	46016997	46018496	11	5.031696e-41	8.8e-05
chr1	46150030	46151645	chr1	46151649	46152553	34	8.517146e-123	8.8e-05
chr1	46766047	46767573	chr1	46767607	46768092	7	1.745784e-26	8.8e-05
chr1	47778056	47778849	chr1	47778870	47780386	12	9.907077e-47	8.8e-05
chr1	53017085	53018561	chr1	53018615	53019170	7	5.446246e-29	8.8e-05
chr1	54411675	54412844	chr1	54412922	54413789	14	2.217427e-58	8.8e-05
chr1	57042347	57043480	chr1	57043493	57044371	10	8.212547e-31	8.8e-05
chr1	65886700	65887785	chr1	65887882	65888955	7	4.038407e-28	8.8e-05
chr1	67893400	67894503	chr1	67895175	67895683	7	6.690408e-22	8.8e-05
chr1	76251668	76252905	chr1	76252926	76254184	17	5.028904e-56	8.8e-05
chr1	84543163	84544327	chr1	84544346	84545332	11	1.570383e-41	8.8e-05
chr1	87794188	87795622	chr1	87795728	87796881	8	9.493409e-28	8.8e-05
chr1	91485417	91486704	chr1	91486771	91487724	6	2.400449e-23	8.8e-05
chr1	93296993	93298087	chr1	93298095	93299428	14	4.185906e-50	8.8e-05
chr1	93544298	93545411	chr1	93545947	93546501	14	2.632575e-44	8.8e-05
chr1	93810859	93811912	chr1	93811931	93813285	16	8.452407e-54	8.8e-05
chr1	93811931	93813285	chr1	93813316	93814293	7	2.84282e-23	8.8e-05
chr1	93912873	93913784	chr1	93913801	93914886	6	3.090716e-20	8.8e-05
chr1	94311008	94312226	chr1	94312346	94313255	8	3.089264e-34	8.8e-05
chr1	94372992	94373642	chr1	94374028	94375106	11	4.85465e-39	8.8e-05
chr1	94884719	94885927	chr1	94886363	94886733	6	5.687862e-24	8.8e-05
chr1	100817682	100818454	chr1	100819145	100820114	6	8.845506e-22	8.8e-05
chr1	109582826	109584287	chr1	109584294	109584886	24	9.640456e-92	8.8e-05
chr1	110090835	110091913	chr1	110092479	110093160	14	4.203406e-49	8.8e-05
chr1	112162167	112163295	chr1	112163366	112164709	14	3.160546e-53	8.8e-05
chr1	112938331	112939602	chr1	112939638	112940523	11	2.240576e-40	8.8e-05
chr1	113161524	113162040	chr1	113162085	113164068	7	2.821445e-24	8.8e-05
chr1	115051151	115052177	chr1	115052499	115054058	15	1.854191e-53	8.8e-05
chr1	116184074	116185068	chr1	116185084	116186209	10	3.509704e-40	8.8e-05
chr1	121484153	121484874	chr19	27732240	27732830	7	5.427803e-10	8.8e-05
chr1	146641332	146642246	chr1	146642464	146643429	16	9.039268e-50	8.8e-05
